District Name,Rank,County,ESC Region,Total Enrollment,% Economically Disadvantaged,Overall Score,% Lunch Participation,% Breakfast Participation,CACFP Supper,Afterschool Snack,CEP
DONNA ISD,1,HIDALGO,1,13080,93.86850152905198,81.94082254618574,80.5495161493025,73.60688701772024,Yes,Yes,Yes
IDEA ACADEMY,2,HIDALGO,1,67988,83.29999411660881,81.05045430506587,79.54288000774918,72.32946860625714,Yes,Yes,Yes
MCALLEN ISD,3,HIDALGO,1,20410,73.78735913767761,77.0308425597401,70.68495177715884,68.71920923090076,Yes,Yes,Yes
HARLANDALE ISD,4,BEXAR,20,12094,88.04365801223747,76.64007795102746,63.306326470048546,71.62699266703065,Yes,Yes,Yes
CLINT ISD,5,EL PASO,19,10494,86.7162187916905,75.67596919093342,62.63040292318106,70.03673692027628,Yes,Yes,Yes
LA JOYA ISD,6,HIDALGO,1,24163,93.20034763895212,71.1810566709608,73.47483095747764,55.62469786318277,Yes,Yes,Yes
EAGLE PASS ISD,7,MAVERICK,20,13385,83.0855435188644,71.14466598182045,64.13839081891007,80.22013655418586,No,Yes,Yes
EDINBURG ISD,8,HIDALGO,1,32078,82.19340357877674,68.55604852726275,75.70700954095625,49.25859228404736,Yes,Yes,Yes
SAN ANTONIO ISD,9,BEXAR,20,44731,87.93901321231361,67.20749751690263,67.06489906328945,50.88254550216054,Yes,Yes,Yes
HARLINGEN CONS ISD,10,CAMERON,1,17037,76.52755766860363,66.86353860086031,71.78380667287165,47.8351738652848,Yes,Yes,Yes
LAREDO ISD,11,WEBB,1,19769,96.13536344782236,66.3928031888884,76.24746675161951,44.66187300196704,Yes,Yes,Yes
JUDSON ISD,12,BEXAR,20,24552,68.40175953079178,65.98028029189553,68.05253744218702,47.93429186269753,Yes,Yes,Yes
WESLACO ISD,13,HIDALGO,1,15639,82.18556173668394,65.71654243840683,62.056397467868784,50.40488614287929,Yes,Yes,Yes
SPRING ISD,14,HARRIS,4,33425,84.46970830216904,65.60912386043276,71.97466407937613,45.230915681177464,Yes,Yes,Yes
BROWNSVILLE ISD,15,CAMERON,1,38448,88.83166874739908,65.29581253025631,65.98967074820933,47.59678968640797,Yes,Yes,Yes
PHARR-SAN JUAN-ALAMO ISD,16,HIDALGO,1,29250,91.54188034188034,64.94655503226932,65.51432060003488,47.13594976452119,Yes,Yes,Yes
WICHITA FALLS ISD,17,WICHITA,9,13380,65.79222720478326,64.02546642307479,70.0850357083541,43.008414991972536,Yes,Yes,No
LUBBOCK ISD,18,LUBBOCK,17,25659,71.96305389921665,62.43041925482577,65.77021210259268,41.9757324583552,Yes,Yes,Yes
GOOSE CREEK CISD,19,HARRIS,4,23920,71.2876254180602,61.75650606187291,68.80234974424552,39.11183725162306,Yes,Yes,No
ALDINE ISD,20,HARRIS,4,61642,89.7407611693326,61.20212907036792,69.01914553411773,37.89468537367697,Yes,Yes,No
PASADENA ISD,21,HARRIS,4,49338,79.24723336981637,59.78235770168459,72.15983912718681,33.48479583977578,Yes,Yes,No
CROWLEY ISD,22,TARRANT,11,16278,72.0604496866937,59.54494789719275,63.13035822724055,37.52471668076522,Yes,Yes,No
BEAUMONT ISD,23,JEFFERSON,5,16778,81.49362260102515,58.75634463441668,65.6468382366016,34.689270150532565,Yes,Yes,Yes
HOUSTON ISD,24,HARRIS,4,194622,79.16268458858711,58.7366007778158,55.98120707195806,39.48259801965257,Yes,Yes,Yes
DALLAS ISD,25,DALLAS,10,143574,85.07668519369803,57.51212965785242,60.85366567626587,34.59742647757191,Yes,Yes,Yes
MISSION CONS ISD,26,HIDALGO,1,13990,86.00428877769836,57.085696977070754,72.16659315924748,58.088097374517766,Yes,No,Yes
UNITED ISD,27,WEBB,1,39323,75.39353558985835,56.68815687656443,70.00067208939879,48.37597770842946,No,Yes,Yes
LOS FRESNOS CONS ISD,28,CAMERON,1,10362,79.84944991314418,55.82930098274626,76.82805517200421,53.244574379490416,Yes,No,No
BASTROP ISD,29,BASTROP,13,11994,70.18509254627313,54.77162192207215,65.61861848798796,46.73393460015032,No,Yes,Yes
GARLAND ISD,30,DALLAS,10,53685,73.85116885535997,53.87013290688988,64.50066945545892,25.489931086050294,Yes,Yes,Yes
ARLINGTON ISD,31,TARRANT,11,56311,72.74067233755395,53.225313920440286,62.42567480444395,25.237790438658596,Yes,Yes,Yes
WACO ISD,32,MCLENNAN,12,14086,90.59349708930853,53.04064276688666,51.84144167869044,30.160564694428103,Yes,Yes,Yes
NEW CANEY ISD,33,MONTGOMERY,6,17116,67.11848562748305,52.45288646010533,73.02007641428936,38.39573471306598,No,Yes,No
