District Name,School Type,Rank,County,ESC Region,Total Enrollment,% Economically Disadvantaged,Overall Score,% Lunch Participation,% Breakfast Participation,CACFP Supper,Afterschool Snack,CEP
CLINT ISD,Public,1,EL PASO,19,10494,86.7,82.7,71.2,79.9,Yes,Yes,Yes
DONNA ISD,Public,2,HIDALGO,1,13080,93.9,81.3,80.1,72.5,Yes,Yes,Yes
IDEA ACADEMY,Charter,3,HIDALGO,1,67988,83.3,81.1,79.5,72.3,Yes,Yes,Yes
HARLANDALE ISD,Public,4,BEXAR,20,12094,88,77.1,64.2,72.2,Yes,Yes,Yes
MCALLEN ISD,Public,5,HIDALGO,1,20410,73.8,77,70.5,68.7,Yes,Yes,Yes
EAGLE PASS ISD,Public,6,MAVERICK,20,13385,83.1,71.3,64.3,80.4,No,Yes,Yes
LA JOYA ISD,Public,7,HIDALGO,1,24163,93.2,71.1,73.4,55.6,Yes,Yes,Yes
EDINBURG ISD,Public,8,HIDALGO,1,32078,82.2,68.4,75.5,49.1,Yes,Yes,Yes
SAN ANTONIO ISD,Public,9,BEXAR,20,44731,87.9,67.3,67.1,51.1,Yes,Yes,Yes
HARLINGEN CONS ISD,Public,10,CAMERON,1,17037,76.5,66.9,71.9,47.8,Yes,Yes,Yes
LAREDO ISD,Public,11,WEBB,1,19769,96.1,65.9,75.4,44,Yes,Yes,Yes
JUDSON ISD,Public,12,BEXAR,20,24552,68.4,65.8,67.5,47.8,Yes,Yes,Yes
WESLACO ISD,Public,13,HIDALGO,1,15639,82.2,65.5,62.1,49.9,Yes,Yes,Yes
SPRING ISD,Public,14,HARRIS,4,33425,84.5,65.5,71.9,45,Yes,Yes,Yes
BROWNSVILLE ISD,Public,15,CAMERON,1,38448,88.8,65.3,66.2,47.5,Yes,Yes,Yes
PHARR-SAN JUAN-ALAMO ISD,Public,16,HIDALGO,1,29250,91.5,64.8,65.3,47,Yes,Yes,Yes
WICHITA FALLS ISD,Public,17,WICHITA,9,13380,65.8,63.9,69.7,42.9,Yes,Yes,No
LUBBOCK ISD,Public,18,LUBBOCK,17,25659,72,62.6,65.9,42.2,Yes,Yes,Yes
LOS FRESNOS CONS ISD,Public,19,CAMERON,1,10362,79.8,62.2,87.8,60.4,Yes,No,No
ALDINE ISD,Public,20,HARRIS,4,61642,89.7,61.8,70.6,38.4,Yes,Yes,No
