District Name,Rank,County,ESC Region,Total Enrollment,% Economically Disadvantaged,Overall Score,% Lunch Participation,% Breakfast Participation,CACFP Supper,Afterschool Snack,CEP
JUDSON ISD,1,BEXAR,20,24552,68.4,66,68.1,47.9,Yes,Yes,Yes
WICHITA FALLS ISD,2,WICHITA,9,13380,65.8,64,70.1,43,Yes,Yes,No
NEW CANEY ISD,3,MONTGOMERY,6,17116,67.1,52.5,73,38.4,No,Yes,No
EAST CENTRAL ISD,4,BEXAR,20,10018,66.2,51.6,64.2,41,No,Yes,Yes
VICTORIA ISD,5,VICTORIA,3,13315,68.5,50.9,59.2,22.2,Yes,Yes,Yes
ECTOR COUNTY ISD,6,ECTOR,18,31825,61.9,49.1,56.9,49.6,Yes,No,Yes
HURST-EULESS-BEDFORD ISD,7,TARRANT,11,22885,60.7,47.8,69.4,31,No,Yes,No
AMARILLO ISD,8,POTTER,16,30876,66.7,46.5,57.3,34.4,No,Yes,No
ABILENE ISD,9,TAYLOR,14,15438,64.4,45.6,66.2,28,No,Yes,No
KILLEEN ISD,10,BELL,12,43894,61.8,42.3,63.2,33,Yes,No,Yes
CARROLLTON-FARMERS BRANCH,11,DALLAS,10,24954,63.4,39.1,61.3,17.5,No,Yes,No
DICKINSON ISD,12,GALVESTON,4,11942,64.1,36.2,66.6,39,No,No,No
SAN ANGELO ISD,13,TOM GREEN,15,13860,62.8,34,53.6,41.2,No,No,No
"INTERNATIONAL LEADERSHIP OF TEXAS, INC.",14,DALLAS,10,20538,61.5,33.7,57.8,18.4,Yes,No,Yes
